0 977 982 
1 972 978 
2 975 983 
3 971 985 
4 971 980 
5 990 2350 
6 973 997 
7 974 987 
8 996 2380 
9 972 1001 
10 973 1003 
11 974 993 
12 979 988 
13 975 994 
14 984 991 
15 976 1007 
16 976 986 
17 981 999 
18 977 978 1002 
19 979 1005 
20 980 981 1011 
21 982 1012 2381 
22 983 984 1010 
23 992 1006 
24 985 986 1016 
25 987 988 1013 
26 989 1014 
27 989 1009 
28 990 995 1017 
29 991 992 1030 
30 993 998 1029 
31 994 995 1019 
32 996 1000 1031 
33 997 998 1020 
34 999 1000 1024 
35 1001 1004 1028 
36 1002 1026 1039 
37 1003 1004 1032 
38 1005 1015 1021 
39 1018 1023 2351 
40 1006 1008 1046 
41 1007 1008 1036 
42 1009 1045 
43 1010 1034 1041 
44 1011 1025 1048 
45 1012 1027 1037 
46 1013 1022 1051 
47 1014 1015 1055 
48 1016 1043 1047 
49 1017 1018 1056 
50 1019 1035 1059 
51 1020 1033 1053 
52 1021 1022 1061 
53 1023 1062 
54 1024 1025 1065 
55 1026 1027 1076 
56 1028 1040 1067 
57 1029 1050 1054 
58 1030 1042 1057 
59 1031 1038 1066 
60 1032 1033 1068 
61 1034 1035 1073 
62 1036 1044 1063 
63 1037 1038 1081 
64 1039 1040 1082 
65 1041 1042 1079 
66 1043 1044 1084 
67 1045 1070 
68 1046 1058 1064 
69 1047 1049 1085 
70 1048 1049 1074 
71 1050 1052 1087 
72 1051 1052 1088 
73 1053 1054 1090 
74 1055 1071 1077 
75 1056 1060 1089 
76 1057 1058 1094 
77 1059 1060 1101 
78 1061 1078 1099 
79 1062 1072 1092 
80 1063 1064 1104 
81 1065 1075 1095 
82 1066 1096 1102 
83 1067 1069 1113 
84 1068 1069 1115 
85 1070 1071 1105 
86 1072 1106 
87 1073 1080 1107 
88 1074 1075 1111 
89 1076 1083 1097 
90 1077 1078 1122 
91 1079 1080 1109 
92 1081 1098 1103 
93 1082 1083 1112 
